"votesys","Obama","Clinton","dem","povrate","pci","Dean","Kerry","white","absentee","population","pObama"
"H",79,40,140,0.0721,21122,0.25743,0.38614,0.98667,0.09417,399,0.564285714285714
"H",94,124,296,0.153,17089,0.32258,0.41014,0.98115,0.05071,1325,0.317567567567568
"H",128,103,319,0.0678,23036,0.28881,0.3935,0.99156,0.07716,1361,0.401253918495298
"H",174,108,387,0.0807,25718,0.39286,0.3022,0.99162,0.16458,850,0.449612403100775
"D",251,234,640,0.0446,20608,0.29369,0.41019,0.97177,0.09436,2080,0.3921875
"D",416,298,959,0.0402,25733,0.24148,0.37358,0.98037,0.115805,4668,0.433785192909281
"D",262,281,744,0.0999,18092,0.27406,0.37657,0.97697,0.071788,4328,0.352150537634409
"H",211,120,461,0.0608,23714,0.46632,0.25907,0.97434,0.089844,1318,0.457700650759219
"D",269,184,646,0.0949,17961,0.22312,0.43002,0.9749,0.095194,2556,0.41640866873065
"H",236,165,517,0.0641,25070,0.24866,0.36898,0.98138,0.100515,2225,0.456479690522244
"D",238,363,802,0.0709,21507,0.24957,0.36489,0.97836,0.087742,4468,0.296758104738155
"D",640,517,1512,0.0629,26361,0.3405,0.35932,0.98619,0.093532,6289,0.423280423280423
"H",240,147,519,0.0785,20444,0.43218,0.21149,0.97788,0.046444,1977,0.46242774566474
"H",367,311,952,0.0446,25051,0.39562,0.27964,0.97374,0.057568,3619,0.385504201680672
"H",245,133,494,0.1063,27028,0.31206,0.35225,0.9668,0.084894,1508,0.495951417004049
"D",154,232,543,0.067,23127,0.28667,0.32667,0.96871,0.053856,2213,0.283609576427256
"H",73,49,181,0.0701,20956,0.34351,0.22137,0.97941,0.010989,811,0.403314917127072
"H",213,142,462,0.0569,25397,0.41538,0.28718,0.97674,0.056466,1096,0.461038961038961
"H",256,331,759,0.0637,16611,0.3661,0.34915,0.97232,0.040836,4213,0.337285902503294
"D",460,462,1223,0.0784,21412,0.24975,0.40967,0.96896,0.070138,5573,0.376124284546198
"D",416,233,891,0.1072,20544,0.36375,0.2925,0.97132,0.043137,4567.4,0.4668911335578
"D",588,402,1433,0.1072,20544,0.36239,0.28073,0.97132,0.054213,4567.4,0.410327983251919
"D",503,427,1283,0.1072,20544,0.33471,0.30062,0.97132,0.06872,4567.4,0.392049883086516
"D",503,436,1330,0.1072,20544,0.29429,0.32857,0.97132,0.041597,4567.4,0.378195488721805
"D",544,424,1347,0.1072,20544,0.37594,0.29041,0.97132,0.076056,4567.4,0.403860430586489
"H",305,188,651,0.0354,19967,0.32768,0.29002,0.98059,0.049813,2064,0.468509984639017
"H",65,79,203,0.0413,18810,0.40462,0.26012,0.98126,0.034056,773,0.320197044334975
"H",106,99,283,0.0758,21174,0.33636,0.3,0.97307,0.040476,1109,0.374558303886926
"D",348,381,987,0.0758,18495,0.26904,0.37346,0.96661,0.052662,5888,0.35258358662614
"H",105,91,306,0.0858,19617,0.20982,0.32143,0.96552,0.071283,952,0.343137254901961
"H",71,74,205,0.0445,21143,0.32653,0.27891,0.98123,0.045977,792,0.346341463414634
"H",90,69,228,0.0185,24277,0.22941,0.29412,0.96731,0.04065,692,0.394736842105263
"D",554,603,1583,0.0536,20150,0.30629,0.33181,0.97853,0.041887,6944,0.349968414403032
"H",159,215,471,0.0795,17323,0.23823,0.40166,0.97859,0.029231,1976,0.337579617834395
"H",489,319,1054,0.0612,23295,0.42285,0.27444,0.9783,0.043202,3652,0.463946869070209
"H",213,128,515,0.0248,24488,0.40471,0.24706,0.97481,0.058252,1825,0.413592233009709
"D",236,403,825,0.1199,16012,0.29452,0.3476,0.96959,0.054329,4223,0.286060606060606
"D",137,343,667,0.1237,15780,0.16391,0.50662,0.97812,0.035608,2665.5,0.205397301349325
"D",162,336,678,0.1237,15780,0.18981,0.49209,0.97812,0.052126,2665.5,0.238938053097345
"D",170,367,769,0.1237,15780,0.17823,0.4511,0.97812,0.061117,2665.5,0.221066319895969
"D",135,322,627,0.1237,15780,0.14176,0.53065,0.97812,0.044776,2665.5,0.215311004784689
"H",76,94,214,0.069,18734,0.22785,0.38608,0.98643,0.101639,686,0.355140186915888
"H",134,115,339,0.1204,18390,0.25847,0.30085,0.98277,0.042301,2365,0.395280235988201
"H",39,48,111,0.0726,16859,0.38095,0.33333,0.97467,0.039216,769,0.351351351351351
"H",68,61,177,0.056,16234,0.33929,0.33929,0.95361,0.069697,972,0.384180790960452
"D",222,330,811,0.0821,19556,0.18401,0.47964,0.97237,0.066727,2948,0.273736128236745
"H",74,74,186,0.0969,19905,0.37069,0.37069,0.98211,0.075426,1026,0.397849462365591
"H",223,186,614,0.0573,19818,0.34273,0.39046,0.975,0.061355,3354,0.363192182410423
"D",85,132,328,0.1145,15101,0.21495,0.46729,0.98948,0.059701,1353,0.259146341463415
"H",129,208,514,0.0179,25092,0.23077,0.39601,0.97908,0.077508,2489,0.250972762645914
"H",49,52,127,0.037,24899,0.09091,0.47273,0.97924,0.10828,911,0.385826771653543
"H",57,30,121,0.0512,17168,0.45902,0.34426,0.9587,0.227273,415,0.471074380165289
"H",39,43,107,0.1433,13784,0.325,0.35,0.96834,0.076087,387,0.364485981308411
"H",34,42,135,0.0977,17070,0.23288,0.46575,0.97287,0.041451,521,0.251851851851852
"H",121,118,348,0.0627,19323,0.2249,0.37349,0.97667,0.048649,1412,0.347701149425287
"D",144,168,417,0.1018,17450,0.29167,0.38141,0.96931,0.026275,1984,0.345323741007194
"H",60,57,154,0.0506,17916,0.46226,0.34906,0.99328,0.064171,920,0.38961038961039
"H",232,205,620,0.1137,20155,0.42316,0.29684,0.96407,0.059218,2272,0.374193548387097
"H",83,97,246,0.0691,28600,0.2716,0.45062,0.98871,0.098851,1013,0.33739837398374
"H",236,227,606,0.0692,19807,0.21519,0.3481,0.95516,0.055611,3097,0.389438943894389
"D",286,255,753,0.0881,20189,0.33531,0.32939,0.97646,0.061055,2803,0.379814077025232
"D",306,262,758,0.06,20515,0.42179,0.33919,0.9765,0.051643,3414,0.403693931398417
"D",395,334,1026,0.0501,23054,0.4317,0.33119,0.97358,0.057981,4750,0.384990253411306
"H",199,87,381,0.0892,20351,0.44086,0.30108,0.97511,0.131439,950,0.522309711286089
"D",93,99,269,0.0788,16944,0.46392,0.29381,0.9754,0.08061,1162,0.345724907063197
"D",2779,1248,4778,0.0906,30393,0.43626,0.29395,0.86608,0.09578,10863,0.581624110506488
"H",223,198,562,0.0682,17465,0.4162,0.36034,0.97826,0.059497,4505,0.396797153024911
"H",47,41,125,0.0282,30196,0.34286,0.31429,0.95861,0.118211,513,0.376
"H",233,207,577,0.0492,27825,0.35169,0.31356,0.97461,0.085876,1993,0.403812824956672
"D",474,378,1070,0.0883,25133,0.47784,0.30703,0.93396,0.057799,4337,0.442990654205607
"D",483,349,1060,0.0883,25133,0.42952,0.31964,0.93396,0.065098,4337,0.455660377358491
"D",484,394,1138,0.0883,25133,0.45262,0.29676,0.93396,0.063283,4337,0.42530755711775
"H",105,127,292,0.0795,17998,0.20079,0.3937,0.96774,0.087794,1293,0.35958904109589
"H",100,89,252,0.0752,16836,0.23387,0.43548,0.98551,0.047847,1623,0.396825396825397
"D",457,332,1069,0.1142,18803,0.32385,0.36856,0.9574,0.08973,5971,0.427502338634238
"H",381,154,705,0.0421,35887,0.57021,0.23801,0.98451,0.117845,1705,0.540425531914894
"H",49,48,126,0.0157,19730,0.41414,0.29293,0.97628,0.068657,781,0.388888888888889
"H",165,84,332,0.0551,24196,0.56048,0.2379,0.96609,0.079566,1134,0.496987951807229
"H",81,67,189,0.0489,22183,0.5493,0.21831,0.97602,0.052045,712,0.428571428571429
"D",648,394,1393,0.1862,14766,0.41227,0.29494,0.95655,0.06468,6193,0.465183058147882
"H",116,101,321,0.0954,17169,0.41445,0.25475,0.97635,0.079032,1557,0.361370716510903
"H",104,62,211,0.0535,29743,0.42675,0.23567,0.98224,0.104895,621,0.492890995260663
"H",202,217,562,0.0953,18478,0.27356,0.31034,0.97396,0.058411,1898,0.359430604982206
"H",39,77,172,0.1069,16454,0.36275,0.2451,0.95991,0.057508,911,0.226744186046512
"H",53,65,161,0.0788,18258,0.42105,0.36842,0.97494,0.061644,835,0.329192546583851
"H",115,112,289,0.0964,19973,0.26961,0.36765,0.97015,0.083691,1165,0.397923875432526
"D",1309,970,2930,0.0187,35531,0.28131,0.36924,0.96248,0.082632,11166,0.446757679180887
"H",272,195,652,0.1149,18978,0.34979,0.29218,0.97305,0.046673,2484,0.417177914110429
"D",1614,1630,4058,0.0215,37730,0.21525,0.37551,0.96689,0.084532,19608,0.397732873336619
"H",119,82,295,0.0792,19675,0.28856,0.29353,0.97859,0.057377,1440,0.403389830508475
"D",370,342,936,0.0079,29272,0.26442,0.35577,0.97106,0.032609,4436,0.395299145299145
"H",182,150,444,0.0401,20856,0.25,0.33544,0.9744,0.044753,1944,0.40990990990991
"H",227,110,459,0.0299,28942,0.41144,0.28338,0.9723,0.063144,1539,0.494553376906318
"D",1144,1352,3334,0.0425,21907,0.18643,0.39704,0.97667,0.040294,17219,0.343131373725255
"H",158,101,368,0.0536,19895,0.30935,0.36331,0.96862,0.048232,1726,0.429347826086957
"H",96,198,406,0.0737,17901,0.24497,0.41611,0.97437,0.021277,2264,0.236453201970443
"H",331,139,610,0.0375,29445,0.41556,0.29981,0.98102,0.080522,1793,0.542622950819672
"D",414,401,1115,0.0976,20122,0.23648,0.35346,0.97119,0.052693,5132,0.371300448430493
"D",792,683,1923,0.0263,44936,0.28382,0.35145,0.95966,0.051587,7341,0.41185647425897
"D",1355,1997,4378,0.0235,25696,0.20168,0.43357,0.9539,0.03315,23524,0.309502055733211
"D",503,674,1561,0.0208,25203,0.20019,0.42644,0.97106,0.033278,7655,0.32222934016656
"H",124,156,387,0.0331,27169,0.33628,0.29794,0.97413,0.055556,1701,0.320413436692506
"D",907,1024,2430,0.1064,21244,0.22376,0.35978,0.89323,0.076695,9012.5,0.373251028806584
"D",509,867,1794,0.1064,21244,0.15733,0.38217,0.89323,0.059402,9012.5,0.283723522853958
"D",435,622,1310,0.1064,21244,0.18493,0.41683,0.89323,0.039337,9012.5,0.33206106870229
"D",487,732,1587,0.1064,21244,0.19162,0.40291,0.89323,0.081568,9012.5,0.306868304977946
"D",635,928,2035,0.1064,21244,0.20286,0.40199,0.89323,0.074491,9012.5,0.312039312039312
"D",458,551,1256,0.1064,21244,0.2151,0.3971,0.89323,0.092975,9012.5,0.364649681528662
"D",519,696,1545,0.1064,21244,0.21048,0.38402,0.89323,0.077731,9012.5,0.335922330097087
"D",404,683,1421,0.1064,21244,0.18947,0.39234,0.89323,0.064266,9012.5,0.284306826178747
"D",587,875,1932,0.1064,21244,0.18677,0.36706,0.89323,0.063504,9012.5,0.303830227743271
"D",421,753,1561,0.1064,21244,0.1958,0.36534,0.89323,0.052632,9012.5,0.269698910954516
"D",588,950,2012,0.1064,21244,0.15584,0.40455,0.89323,0.044175,9012.5,0.292246520874752
"D",488,899,1838,0.1064,21244,0.15158,0.41516,0.89323,0.059149,9012.5,0.26550598476605
"H",91,108,286,0.0341,28503,0.33091,0.31273,0.9721,0.030303,1198,0.318181818181818
"D",1954,2325,5457,0.0192,27748,0.18904,0.42078,0.95685,0.034685,26259,0.358072200842954
"D",1052,1092,2844,0.0522,24425,0.23311,0.41932,0.95944,0.040562,14087,0.369901547116737
"H",232,201,570,0.0197,30772,0.24034,0.37768,0.9823,0.034225,2211,0.407017543859649
"D",744,1021,2329,0.0676,25209,0.14992,0.46171,0.86493,0.046283,9762.9,0.319450407900386
"D",666,773,1839,0.0676,25209,0.1986,0.44,0.86493,0.039074,9762.9,0.362153344208809
"D",637,788,1913,0.0676,25209,0.22695,0.42553,0.86493,0.046067,9762.9,0.332984840564558
"D",416,683,1331,0.0676,25209,0.19062,0.51597,0.86493,0.042343,9762.9,0.312546957175056
"D",673,1030,2231,0.0676,25209,0.18843,0.44723,0.86493,0.043375,9762.9,0.301658449125952
"D",520,967,1900,0.0676,25209,0.18176,0.49865,0.86493,0.042776,9762.9,0.273684210526316
"D",480,859,1733,0.0676,25209,0.1708,0.45474,0.86493,0.048989,9762.9,0.276976341604155
"D",681,789,1846,0.0676,25209,0.21649,0.40885,0.86493,0.042918,9762.9,0.368905742145179
"D",786,881,2164,0.0676,25209,0.20253,0.4626,0.86493,0.044137,9762.9,0.363216266173752
"D",482,366,1110,0.0433,26488,0.29486,0.30629,0.9768,0.047697,4554,0.434234234234234
"D",211,277,667,0.0709,20210,0.22022,0.40975,0.97972,0.038602,4659,0.316341829085457
"D",721,1265,2492,0.0304,25158,0.18691,0.48113,0.9661,0.034306,11612,0.289325842696629
"D",980,549,2082,0.0913,26154,0.3598,0.31576,0.96379,0.089805,5988,0.470701248799232
"H",80,33,135,0.1149,17231,0.39796,0.32653,0.96667,0.096618,368,0.592592592592593
"H",199,97,395,0.0379,29478,0.44282,0.25513,0.97533,0.049261,1403,0.50379746835443
"D",580,630,1601,0.0641,21897,0.27312,0.35955,0.97814,0.04084,8225,0.362273579013117
"H",386,284,975,0.0252,22217,0.30058,0.30409,0.97168,0.057021,3876,0.395897435897436
"D",256,461,1000,0.0386,18851,0.17519,0.43606,0.97027,0.011523,4990,0.256
"H",270,192,615,0.0566,21627,0.34749,0.32819,0.98056,0.040956,2174,0.439024390243902
"H",255,328,737,0.0746,18732,0.33106,0.27816,0.97249,0.070328,3771,0.345997286295794
"D",810,701,1973,0.0181,29557,0.24223,0.38427,0.9752,0.040589,7345,0.410542321338064
"H",214,106,434,0.0413,22240,0.33514,0.28649,0.96836,0.07095,1514,0.493087557603687
"D",355,258,814,0.0248,27374,0.37595,0.32572,0.98181,0.039797,2067,0.436117936117936
"H",225,226,591,0.0795,21976,0.27409,0.41113,0.97809,0.031504,2406,0.380710659898477
"D",384,448,1122,0.0301,24115,0.24665,0.39621,0.94585,0.035714,4138,0.342245989304813
"D",603,522,1543,0.0301,24115,0.28055,0.40123,0.94585,0.079169,4138,0.390797148412184
"D",338,351,920,0.0301,24115,0.23796,0.3854,0.94585,0.049864,4138,0.367391304347826
"D",300,292,828,0.0301,24115,0.28936,0.42411,0.94585,0.055506,4138,0.36231884057971
"D",562,410,1242,0.0301,24115,0.34154,0.35335,0.94585,0.063376,4138,0.452495974235105
"D",785,407,1437,0.0301,24115,0.28363,0.37961,0.94585,0.114061,4138,0.546276965901183
"D",308,348,881,0.0301,24115,0.29598,0.39655,0.94585,0.119959,4138,0.349602724177071
"D",513,426,1294,0.0301,24115,0.29552,0.38513,0.94585,0.046406,4138,0.39644513137558
"D",307,350,883,0.0301,24115,0.21494,0.41311,0.94585,0.048145,4138,0.347678369195923
"D",270,350,807,0.0301,24115,0.24417,0.38258,0.94585,0.042495,4138,0.33457249070632
"H",93,89,246,0.111,18339,0.42286,0.28,0.9916,0.042857,1102,0.378048780487805
"H",234,224,606,0.0276,27892,0.29851,0.31557,0.98158,0.044321,2363,0.386138613861386
"D",255,372,899,0.0311,22026,0.19176,0.40341,0.98309,0.038644,4312,0.283648498331479
"D",143,297,624,0.1286,17155,0.20264,0.39427,0.9624,0.055367,2837.3,0.229166666666667
"D",126,196,446,0.1286,17155,0.23545,0.41799,0.9624,0.037767,2837.3,0.282511210762332
"D",183,284,624,0.1286,17155,0.21711,0.41667,0.9624,0.035377,2837.3,0.293269230769231
"D",448,335,1089,0.0702,24530,0.31061,0.33391,0.96097,0.040257,4763,0.411386593204775
"H",60,77,207,0.0417,21004,0.22905,0.42458,0.9879,0.014793,1037,0.289855072463768
"D",812,1102,2590,0.0403,24629,0.19484,0.402,0.95453,0.042159,12280,0.313513513513514
"D",898,526,1909,0.018,30753,0.31884,0.37484,0.98055,0.076573,5524,0.470403352540597
"D",327,409,991,0.0607,24673,0.21781,0.3726,0.97835,0.039665,4759,0.329969727547931
"D",574,306,1106,0.0235,37556,0.38531,0.31187,0.97838,0.125268,4286,0.518987341772152
"D",228,183,554,0.0176,29521,0.31944,0.35648,0.97474,0.09544,1790,0.411552346570397
"H",298,346,925,0.0392,18466,0.22095,0.39598,0.97493,0.030415,4730,0.322162162162162
"D",493,605,1544,0.0544,20800,0.22449,0.40986,0.97564,0.031194,7125,0.319300518134715
"D",255,272,689,0.0877,21082,0.19057,0.42623,0.96515,0.036256,4154,0.370101596516691
"H",117,116,326,0.0194,23112,0.21236,0.42471,0.97713,0.056863,1188,0.358895705521472
"H",250,154,548,0.05,24432,0.33333,0.32468,0.96891,0.037559,1629,0.456204379562044
"H",303,238,787,0.0676,21587,0.39239,0.33675,0.97645,0.057891,2883,0.385006353240152
"H",191,181,513,0.0501,20852,0.22493,0.3523,0.98797,0.026738,1673,0.372319688109162
"H",207,87,398,0.0438,25629,0.38968,0.30086,0.98077,0.30625,1190,0.520100502512563
"D",434,718,1480,0.0327,30412,0.19336,0.47552,0.97184,0.054131,6542,0.293243243243243
"D",397,433,1100,0.0178,28405,0.19509,0.37178,0.97608,0.02521,4911,0.360909090909091
"D",303,332,838,0.0367,22027,0.24382,0.39753,0.95965,0.072093,3670,0.361575178997613
"D",274,342,857,0.0265,25267,0.2489,0.3461,0.97418,0.022321,4110,0.319719953325554
"D",327,335,841,0.0502,23842,0.21976,0.37819,0.97416,0.036277,4357,0.388822829964328
"D",212,387,779,0.0405,22152,0.17407,0.47593,0.97241,0.024268,4192,0.27214377406932
"D",353,323,933,0.032,24160,0.27605,0.34912,0.98287,0.045568,4077,0.378349410503751
"D",1632,2387,5290,0.0464,22315,0.1941,0.43641,0.94918,0.038236,34613,0.308506616257089
"D",158,205,494,0.0435,28844,0.1877,0.49191,0.97702,0.054414,1860,0.319838056680162
"D",374,578,1269,0.033,21109,0.22794,0.35294,0.9664,0.033129,5786,0.294720252167061
"D",1699,1407,3966,0.0539,27105,0.28781,0.39365,0.96621,0.098199,14305,0.428391326273323
"D",228,310,743,0.0418,24082,0.20299,0.44017,0.97892,0.042205,3755,0.306864064602961
"D",355,351,902,0.0594,31270,0.22605,0.42066,0.97195,0.046579,3332,0.393569844789357
"D",543,814,1761,0.0382,29195,0.21338,0.42751,0.97794,0.04494,8478,0.308347529812606
"D",1295,1700,3972,0.0588,29878,0.19969,0.48037,0.97007,0.106324,15138,0.326032225579053
"D",176,146,431,0.0293,35060,0.27507,0.36963,0.97819,0.04716,1946,0.408352668213457
"H",182,212,507,0.0464,29265,0.31925,0.36385,0.9831,0.041262,1991,0.358974358974359
"D",342,488,1113,0.0251,28795,0.19549,0.45614,0.97578,0.055274,6097,0.307277628032345
"D",1803,1958,4795,0.0208,26491,0.2209,0.42762,0.95834,0.040042,24097,0.376016684045881
"D",175,159,457,0.0285,28687,0.28457,0.33777,0.97679,0.043541,1600,0.382932166301969
"H",83,88,213,0.0464,30172,0.35032,0.29936,0.95226,0.069231,796,0.389671361502347
"D",925,941,2426,0.0834,22085,0.28989,0.3449,0.92999,0.046353,8531,0.381286067600989
"D",259,430,888,0.0402,22910,0.17331,0.46933,0.97249,0.039198,4482,0.291666666666667
"D",452,430,1153,0.0332,34187,0.21935,0.4129,0.97816,0.082463,4464,0.392020815264527
"D",317,372,941,0.0422,21491,0.28264,0.3142,0.97143,0.045556,3737,0.336875664187035
"D",359,391,1042,0.025,24879,0.23667,0.36541,0.97811,0.043312,3897,0.344529750479846
"D",389,699,1374,0.0317,25255,0.22464,0.42754,0.97341,0.02531,7860,0.28311499272198
"D",415,434,1153,0.093,27540,0.32207,0.36599,0.92682,0.072165,4201.6,0.359930615784909
"D",810,526,1723,0.093,27540,0.34597,0.33446,0.92682,0.066592,4201.6,0.470110272780035
"D",286,320,793,0.093,27540,0.25518,0.4051,0.92682,0.05298,4201.6,0.360655737704918
"D",509,612,1485,0.093,27540,0.21351,0.43036,0.92682,0.065531,4201.6,0.342760942760943
"D",787,476,1615,0.093,27540,0.30958,0.33096,0.92682,0.097575,4201.6,0.487306501547988
"D",473,797,1733,0.0603,18430,0.21548,0.37749,0.97343,0.035174,10056,0.272937103289094
"D",1508,2869,5595,0.0413,26170,0.18973,0.47765,0.94074,0.039665,28898,0.26952636282395
"D",300,452,1003,0.0413,25978,0.23907,0.38798,0.98172,0.033887,5381,0.299102691924227
"D",331,848,1481,0.0862,20992,0.17641,0.52637,0.96862,0.060357,8320,0.223497636731938
"H",55,107,214,0.0273,28287,0.25123,0.37438,0.9763,0.03869,873,0.257009345794392
"D",802,674,1873,0.0117,33270,0.23279,0.37974,0.97467,0.057616,6614,0.428190069407368
"D",819,1069,2433,0.0176,38559,0.23609,0.42193,0.96134,0.053966,11895,0.336621454993835
"D",659,713,1941,0.0552,21012,0.25704,0.36101,0.97512,0.03477,7823,0.339515713549717
"D",477,431,1250,0.0841,23459,0.2776,0.39235,0.93799,0.050167,4646.3,0.3816
"D",476,407,1157,0.0841,23459,0.27829,0.38736,0.93799,0.042386,4646.3,0.411408815903198
"D",526,540,1409,0.0841,23459,0.19697,0.41889,0.93799,0.06875,4646.3,0.373314407381121
"D",482,548,1346,0.0841,23459,0.23137,0.43529,0.93799,0.056779,4646.3,0.358098068350669
"D",429,469,1131,0.0841,23459,0.24467,0.44793,0.93799,0.037009,4646.3,0.379310344827586
"D",382,506,1157,0.0841,23459,0.20285,0.45433,0.93799,0.043254,4646.3,0.330164217804667
"D",1302,806,2701,0.2769,17210,0.34205,0.30936,0.93714,0.080931,12927,0.48204368752314
"D",322,559,1182,0.0952,16574,0.20839,0.37746,0.97437,0.03455,6092,0.272419627749577
"D",458,480,1330,0.0513,23905,0.2972,0.37944,0.95199,0.047087,4296,0.344360902255639
"H",209,207,547,0.058,26524,0.25287,0.33333,0.96289,0.053701,1657,0.382084095063985
"H",78,170,350,0.0726,18415,0.17371,0.41784,0.98264,0.021692,1550,0.222857142857143
"D",235,389,877,0.0787,18092,0.26003,0.35253,0.9757,0.036226,4142,0.267958950969213
"D",194,209,560,0.0509,22139,0.25789,0.39737,0.97928,0.058002,2333,0.346428571428571
"D",333,538,1154,0.0838,18859,0.17577,0.38349,0.96627,0.037013,4871.7,0.288561525129983
"D",311,411,987,0.0838,18859,0.19062,0.3888,0.96627,0.053725,4871.7,0.315096251266464
"D",314,471,1013,0.0838,18859,0.17221,0.44562,0.96627,0.044623,4871.7,0.309970384995064
"D",289,457,986,0.0838,18859,0.17872,0.42837,0.96627,0.033442,4871.7,0.293103448275862
"D",296,481,1026,0.0838,18859,0.17756,0.43466,0.96627,0.040031,4871.7,0.288499025341131
"D",275,436,920,0.0838,18859,0.19138,0.4,0.96627,0.046622,4871.7,0.298913043478261
"H",224,304,721,0.0371,24444,0.26923,0.38462,0.97394,0.043841,2669,0.310679611650485
"D",207,273,620,0.0878,19592,0.20842,0.46316,0.95225,0.044796,2337.8,0.333870967741935
"D",132,260,518,0.0878,19592,0.15427,0.48209,0.95225,0.030142,2337.8,0.254826254826255
"D",130,270,514,0.0878,19592,0.19182,0.50128,0.95225,0.029617,2337.8,0.252918287937743
"D",174,267,588,0.0878,19592,0.16561,0.50955,0.95225,0.026426,2337.8,0.295918367346939
"D",124,180,413,0.0878,19592,0.15408,0.53172,0.95225,0.022472,2337.8,0.300242130750605
"H",295,349,944,0.0185,23500,0.25688,0.36042,0.97959,0.036543,3800,0.3125
"H",118,72,269,0.1563,18132,0.44495,0.22018,0.95933,0.045576,847,0.438661710037175
"H",377,480,1127,0.0655,18654,0.39715,0.36504,0.98063,0.027663,4878,0.334516415261757
"D",286,332,780,0.1005,20267,0.39528,0.31811,0.97316,0.040315,4403.7,0.366666666666667
"D",337,410,971,0.1005,20267,0.33173,0.3738,0.97316,0.045455,4403.7,0.347064881565396
"D",278,372,849,0.1005,20267,0.30692,0.43228,0.97316,0.056261,4403.7,0.327444051825677
"H",236,149,559,0.0448,23165,0.48995,0.28141,0.97532,0.056657,1683,0.422182468694097
"H",69,46,142,0.0495,21403,0.44444,0.33333,0.97277,0.042553,722,0.485915492957746
"H",68,55,174,0.0876,20561,0.36937,0.33333,0.97031,0.078292,777,0.390804597701149
"D",433,294,910,0.0249,32174,0.39701,0.31791,0.97831,0.090498,2265,0.475824175824176
"H",61,60,165,0.038,24572,0.41085,0.31008,0.99488,0.054745,599,0.36969696969697
"H",85,75,212,0.0726,19172,0.44056,0.23776,0.97116,0.074866,1015,0.400943396226415
"H",422,470,1183,0.1442,16964,0.34349,0.33763,0.97512,0.037975,6337,0.356720202874049
"H",378,194,758,0.0282,26062,0.55136,0.22356,0.97813,0.057751,2331,0.49868073878628
"H",143,86,279,0.0514,23263,0.4424,0.29493,0.98413,0.078585,961,0.512544802867383
"D",348,252,829,0.0519,29184,0.40769,0.31692,0.97545,0.097654,3146,0.41978287092883
"H",107,107,315,0.0809,17908,0.38197,0.28755,0.98758,0.056277,1606,0.33968253968254
"H",214,106,434,0.0504,20540,0.36517,0.26404,0.97318,0.060241,905,0.493087557603687
