"wage","educ","exper","race","smsa","ne","mw","so","we","pt"
569.8,15,15,0,1,0,1,0,0,0
130.58,12,4,0,1,0,1,0,0,0
641.03,13,16,1,1,0,0,1,0,0
712.25,14,25,0,1,0,0,1,0,0
1073.12,16,8,0,1,1,0,0,0,0
712.25,16,13,0,1,0,0,0,1,0
261.16,12,35,0,1,0,1,0,0,0
783.48,16,4,0,1,0,1,0,0,0
197.53,12,8,1,1,0,0,1,0,1
720.16,12,28,1,1,0,0,0,1,0
593.54,14,18,0,1,0,1,0,0,0
1234.57,18,7,0,1,0,0,0,1,0
533.87,12,9,0,0,0,0,1,0,0
712.25,16,6,0,1,1,0,0,0,0
909.31,16,9,0,1,0,1,0,0,0
356.13,12,14,1,1,0,0,1,0,0
759.73,14,11,0,1,0,0,0,1,0
382.74,8,42,0,1,0,0,1,0,0
53.7,9,22,1,1,0,0,1,0,1
403.61,12,12,0,0,1,0,0,0,0
664.77,12,15,0,1,0,0,1,0,0
415.48,13,21,0,1,0,0,1,0,0
949.67,16,21,0,1,0,0,1,0,0
664.77,12,15,0,1,0,0,0,1,0
308.64,10,51,0,0,1,0,0,0,0
997.15,12,11,0,1,0,0,0,1,0
2374.15,18,27,0,1,1,0,0,0,0
259.73,12,1,0,0,0,0,1,0,0
641.03,13,27,0,0,1,0,0,0,0
411.52,12,11,0,1,0,1,0,0,0
379.87,12,23,1,1,0,1,0,0,0
231.48,16,11,0,1,1,0,0,0,0
142.45,12,4,0,0,0,1,0,0,0
503.7,11,6,0,0,0,1,0,0,0
94.59,14,4,0,1,0,1,0,0,1
1234.57,18,3,0,1,1,0,0,0,0
379.87,4,34,0,0,0,0,1,0,0
391.74,12,15,0,1,0,1,0,0,0
411.7,12,19,0,0,1,0,0,0,0
1068.38,14,31,0,1,0,0,1,0,0
123.46,15,-1,0,1,0,1,0,0,0
569.8,12,37,0,1,0,1,0,0,0
94.97,13,32,0,0,0,1,0,0,1
474.83,8,46,0,1,0,1,0,0,0
379.87,12,12,0,1,0,0,1,0,0
118.71,3,56,0,0,0,0,1,0,1
90.22,12,1,0,0,0,1,0,0,0
402.17,10,8,0,1,1,0,0,0,0
1344.78,16,12,0,1,0,0,1,0,0
474.83,16,27,0,1,0,0,0,1,0
356.13,9,45,0,1,0,0,0,1,0
197.53,12,2,0,1,0,0,0,1,0
949.67,11,19,1,1,1,0,0,0,0
531.81,18,11,0,0,0,1,0,0,1
522.32,12,16,0,0,0,0,1,0,0
356.13,18,32,0,1,0,1,0,0,0
949.67,12,35,0,1,0,0,0,1,0
902.18,18,14,0,1,0,0,1,0,0
1697.72,18,12,0,0,0,0,0,1,0
451.09,14,16,0,0,0,0,0,1,0
830.96,16,37,0,1,0,1,0,0,0
807.22,14,16,0,1,0,0,0,1,0
617.28,6,23,0,1,0,0,0,1,0
271.6,13,1,0,1,0,1,0,0,0
462.99,12,10,0,0,0,1,0,0,0
336.7,13,17,0,1,0,0,1,0,0
593.54,16,4,0,1,0,0,1,0,0
189.93,8,43,0,1,0,0,0,1,0
119.66,14,3,0,0,0,1,0,0,0
641.03,13,15,0,0,0,0,1,0,0
76.43,13,-1,0,1,1,0,0,0,1
493.83,14,0,0,1,1,0,0,0,0
679.01,16,23,0,0,0,0,1,0,0
308.64,10,10,0,1,0,0,1,0,0
130.58,12,11,0,1,0,0,0,1,1
56.79,14,0,0,0,1,0,0,0,1
1899.34,14,30,0,1,1,0,0,0,0
1316.87,12,15,0,0,0,0,0,1,0
830.96,18,0,0,1,1,0,0,0,0
784.69,14,15,0,0,0,0,0,1,0
1139.6,16,5,0,1,0,1,0,0,0
167.55,12,2,0,1,0,0,0,1,0
712.25,12,42,0,1,1,0,0,0,0
845.2,14,13,0,1,0,1,0,0,0
315.82,12,18,0,1,0,0,1,0,0
183.42,10,6,0,1,0,0,0,1,0
337.08,9,43,0,1,1,0,0,0,0
493.83,11,3,0,1,0,0,1,0,0
854.7,18,25,0,0,0,0,1,0,0
885.57,12,20,0,0,0,0,1,0,0
1033.01,18,3,0,0,0,0,0,1,0
403.61,13,5,0,1,1,0,0,0,0
522.32,16,7,0,1,0,1,0,0,0
197.53,12,19,1,1,0,0,1,0,0
308.64,12,4,0,1,0,1,0,0,0
521.94,12,42,0,0,0,0,0,1,0
367.74,16,8,0,1,1,0,0,0,0
236.42,12,13,0,1,1,0,0,0,0
569.8,8,36,0,1,1,0,0,0,0
641.03,16,16,0,1,0,1,0,0,0
783.48,16,10,0,1,0,0,0,1,0
189.93,15,-1,0,1,1,0,0,0,0
500.95,17,1,0,1,0,0,1,0,0
593.54,12,12,0,1,0,1,0,0,0
154.32,13,1,0,1,0,1,0,0,1
721.45,8,47,0,1,0,1,0,0,0
522.32,10,24,1,1,1,0,0,0,0
1234.57,14,21,0,1,0,1,0,0,0
123.46,16,9,0,1,0,0,0,1,1
546.06,12,21,0,0,0,0,1,0,0
1305.79,18,19,0,0,0,0,0,1,0
522.32,18,12,0,1,0,0,1,0,0
379.87,12,19,0,0,0,0,1,0,0
866.57,18,14,0,1,1,0,0,0,0
689.53,11,38,0,1,1,0,0,0,0
346.63,12,38,0,0,0,0,1,0,0
379.87,13,5,0,0,0,0,1,0,0
370.37,3,49,0,1,0,0,1,0,0
546.06,12,16,0,1,1,0,0,0,0
1305.79,12,18,0,1,0,1,0,0,0
498.58,12,17,0,0,1,0,0,0,0
241.21,12,0,0,0,1,0,0,0,0
195.46,12,5,1,1,1,0,0,0,0
160.49,12,21,1,1,0,0,1,0,0
470.09,12,25,0,1,0,0,0,1,0
415.48,12,40,0,0,0,0,1,0,0
830.96,12,27,0,0,1,0,0,0,0
668.47,14,21,0,1,0,0,0,1,0
997.15,18,6,0,1,1,0,0,0,0
1111.11,18,28,0,1,0,0,0,1,0
384.62,12,31,0,1,1,0,0,0,0
462.96,12,13,0,1,1,0,0,0,0
189.93,1,49,0,1,0,0,0,1,0
683.76,9,46,0,1,1,0,0,0,0
61.73,12,17,1,1,0,0,1,0,1
664.77,16,9,0,1,0,1,0,0,0
679.01,16,7,0,1,0,0,0,1,0
740.74,13,13,0,1,0,0,0,1,0
617.28,12,25,0,1,1,0,0,0,0
142.45,9,46,0,0,0,0,1,0,0
1264.13,18,36,0,1,0,1,0,0,0
830.96,12,25,0,1,0,1,0,0,0
747.86,16,12,0,1,0,0,1,0,0
284.9,12,9,0,1,0,0,1,0,0
1049.38,12,9,0,1,0,0,0,1,0
213.68,12,2,1,0,0,0,1,0,0
854.7,13,38,0,0,0,0,1,0,0
617.28,11,15,0,1,0,1,0,0,0
284.9,5,54,0,1,1,0,0,0,0
403.61,12,23,0,0,0,0,1,0,0
498.58,12,46,0,0,0,0,1,0,0
346.63,12,3,0,0,0,0,0,1,0
403.61,14,12,1,1,0,0,1,0,0
249.29,12,47,1,1,0,1,0,0,0
664.77,12,34,0,0,0,1,0,0,0
807.22,12,22,0,0,0,1,0,0,0
1412.63,18,14,0,1,1,0,0,0,0
807.22,10,27,0,0,0,1,0,0,0
902.18,14,16,0,1,0,0,1,0,0
98.77,13,-1,0,1,0,1,0,0,1
474.83,10,12,0,0,0,0,1,0,0
1020.89,13,42,0,1,1,0,0,0,0
830.96,12,16,0,1,0,0,0,1,0
830.96,18,29,0,0,0,0,1,0,0
569.8,15,21,0,0,0,0,0,1,0
1135.8,13,33,0,1,1,0,0,0,0
379.87,16,17,0,1,1,0,0,0,0
521.6,12,27,0,1,0,0,1,0,0
345.68,16,8,0,1,0,0,0,1,0
593.54,14,32,0,1,0,0,0,1,0
284.9,8,29,0,1,0,0,1,0,0
712.25,11,42,0,1,0,1,0,0,0
593.54,16,5,0,1,1,0,0,0,0
1103.4,12,40,0,1,0,1,0,0,0
199.12,13,3,0,0,0,0,0,1,0
142.45,12,0,0,1,0,0,0,1,0
641.03,18,4,0,1,1,0,0,0,0
261.16,13,7,0,0,0,0,1,0,0
474.83,16,4,0,1,0,0,1,0,0
641.03,14,20,0,1,0,0,1,0,0
607.05,7,41,0,0,1,0,0,0,0
427.35,12,44,1,1,0,0,1,0,0
1305.79,18,11,0,1,0,0,1,0,0
261.16,12,4,0,1,0,0,1,0,0
629.39,12,7,0,1,0,0,0,1,0
546.06,15,39,0,1,0,0,0,1,0
318.14,12,22,0,0,0,1,0,0,0
1258.31,18,6,0,1,0,0,1,0,0
664.77,12,19,0,1,0,1,0,0,0
363.25,18,12,0,0,0,0,0,1,0
322.89,13,10,0,0,0,0,1,0,0
597.27,13,18,0,1,0,0,0,1,0
323.34,16,8,0,1,0,0,0,1,0
402.85,16,8,0,1,0,1,0,0,0
522.32,12,14,0,1,0,1,0,0,0
517.57,11,24,0,1,1,0,0,0,0
664.77,8,43,0,1,0,1,0,0,0
581.67,12,28,0,1,0,1,0,0,0
493.83,16,18,0,1,1,0,0,0,0
296.3,9,8,0,1,0,0,0,1,0
92.59,11,1,1,0,0,0,1,0,1
325.26,12,3,0,1,0,0,1,0,0
320.51,15,1,0,1,0,1,0,0,0
197.41,12,0,0,1,0,1,0,0,1
226.76,10,12,1,0,0,0,1,0,0
1471.98,18,27,0,1,1,0,0,0,0
593.54,14,17,1,1,0,1,0,0,0
849.5,8,18,0,1,1,0,0,0,0
403.61,14,11,0,1,0,1,0,0,0
690.77,12,17,0,1,0,1,0,0,0
296.77,12,27,1,1,1,0,0,0,0
783.48,15,18,0,1,0,0,1,0,0
232.67,12,4,1,1,0,0,1,0,0
415.48,12,11,0,0,0,1,0,0,0
1210.83,12,30,0,0,0,1,0,0,0
874.49,12,21,0,1,1,0,0,0,0
830.96,9,30,0,1,0,0,1,0,0
356.13,12,11,0,1,0,0,1,0,0
546.06,18,11,0,1,0,0,0,1,0
1020.89,12,34,0,1,0,1,0,0,0
522.32,12,16,0,1,0,1,0,0,0
522.32,9,15,0,0,0,0,1,0,0
712.25,12,29,0,1,0,0,1,0,0
283.95,16,0,0,1,0,1,0,0,0
165.43,10,8,0,1,0,0,1,0,0
204.18,12,6,0,1,1,0,0,0,0
4264.87,16,16,0,1,0,0,0,1,0
422.36,12,42,1,1,0,0,1,0,0
443.44,12,14,0,0,0,1,0,0,0
997.15,12,31,0,1,0,0,1,0,0
474.83,12,15,0,1,0,1,0,0,0
717.77,16,13,0,1,0,1,0,0,0
925.93,18,16,0,1,0,0,0,1,0
1187.08,18,20,0,0,0,0,1,0,0
474.83,15,33,0,0,1,0,0,0,0
474.83,16,15,0,1,1,0,0,0,0
1258.31,18,16,0,1,0,1,0,0,0
237.42,12,4,0,1,0,0,0,1,0
830.96,18,36,0,0,0,1,0,0,0
466.39,14,34,0,0,0,0,1,0,0
154.32,18,2,0,1,0,0,1,0,1
498.58,12,44,0,1,1,0,0,0,0
308.64,16,12,0,1,1,0,0,0,0
375.31,12,4,0,1,0,1,0,0,0
498.58,11,12,0,1,1,0,0,0,0
123.46,12,4,0,0,0,1,0,0,0
432.1,12,6,0,0,1,0,0,0,0
92.59,12,7,0,1,1,0,0,0,1
474.83,12,5,0,1,0,0,0,1,0
546.06,14,7,0,1,0,0,1,0,0
246.91,12,11,0,1,0,0,0,1,0
474.83,11,25,0,1,0,0,0,1,0
427.35,13,12,0,0,0,1,0,0,0
593.54,16,10,0,0,0,1,0,0,0
949.67,16,28,0,1,1,0,0,0,0
540.12,12,4,0,1,1,0,0,0,0
391.74,16,3,0,0,0,1,0,0,0
275.96,8,39,0,1,1,0,0,0,0
347.22,14,0,0,1,0,0,0,1,0
237.42,12,42,0,1,0,0,0,1,0
144.75,10,6,0,1,0,0,0,1,0
978.16,14,21,0,1,0,0,1,0,0
444.44,13,14,0,0,0,1,0,0,0
186.71,18,4,0,0,0,1,0,0,1
918.38,9,16,0,1,1,0,0,0,0
305.34,12,28,0,0,0,0,1,0,0
1099.54,11,15,1,1,0,0,1,0,0
205.76,14,1,0,1,1,0,0,0,0
1006.5,18,27,0,1,0,0,1,0,0
335.48,10,5,0,1,0,0,1,0,0
949.67,12,23,0,1,1,0,0,0,0
427.35,12,2,0,1,1,0,0,0,0
1590.69,16,11,0,1,0,1,0,0,0
356.13,16,5,0,1,0,0,0,1,0
194.68,12,3,0,1,0,0,0,1,1
1077.44,13,23,0,0,0,0,0,1,0
332.38,12,4,0,1,0,0,1,0,0
546.06,13,14,0,1,0,0,1,0,0
522.32,12,38,0,0,1,0,0,0,0
1039.89,13,34,0,1,0,0,0,1,0
1780.63,14,33,0,1,1,0,0,0,0
434.43,12,19,0,1,0,1,0,0,0
760.78,16,20,0,1,0,0,0,1,0
1187.08,16,19,0,1,1,0,0,0,0
819.09,11,13,0,1,0,0,1,0,0
284.9,12,7,0,0,0,0,1,0,0
498.58,13,9,0,1,0,0,0,1,0
1187.08,11,35,0,1,0,0,0,1,0
474.83,12,33,0,1,0,0,1,0,0
451.09,12,32,1,1,0,0,1,0,0
949.67,16,13,0,1,1,0,0,0,0
1042.52,16,22,0,1,0,0,1,0,0
92.59,8,11,0,1,0,0,1,0,0
949.67,14,7,0,1,0,1,0,0,0
474.83,16,9,0,1,0,0,1,0,0
403.61,17,26,0,1,0,0,0,1,0
569.8,14,7,0,1,0,0,0,1,0
451.09,11,9,0,0,0,0,0,1,0
830.96,14,12,0,1,1,0,0,0,0
297.42,12,3,0,1,0,0,1,0,0
118.71,11,6,0,1,0,0,0,1,1
271.6,9,37,0,1,1,0,0,0,0
878.44,16,1,0,1,0,1,0,0,0
462.96,12,4,0,1,0,0,1,0,0
462.96,11,4,0,1,1,0,0,0,0
534.19,8,48,0,0,0,1,0,0,0
356.13,12,6,0,1,1,0,0,0,0
155.27,12,7,0,1,0,0,1,0,0
534.19,12,10,0,1,0,0,1,0,0
854.7,14,19,0,1,0,0,1,0,0
830.96,16,7,0,1,0,1,0,0,0
949.67,18,5,0,1,0,0,1,0,0
641.03,12,9,0,1,1,0,0,0,0
835.45,10,41,0,1,0,0,0,1,0
308.64,13,3,0,0,0,1,0,0,0
712.25,13,11,0,1,0,0,1,0,0
812.32,12,17,0,0,0,0,0,1,0
555.56,12,5,1,1,1,0,0,0,0
2374.15,12,5,1,0,0,0,1,0,0
61.73,13,0,0,0,0,0,1,0,1
664.77,12,19,0,0,0,0,1,0,0
474.83,17,2,0,1,0,0,1,0,0
668.85,10,48,0,0,0,1,0,0,1
470.37,12,25,1,1,0,0,1,0,0
189.93,16,0,0,1,0,0,1,0,1
237.42,3,39,0,1,0,0,1,0,0
830.96,12,27,0,1,0,1,0,0,0
180.44,15,-1,0,1,0,1,0,0,0
397.81,13,2,0,1,0,0,0,1,0
617.28,16,45,0,1,0,0,0,1,1
474.83,10,24,0,1,1,0,0,0,0
1234.57,13,23,0,1,1,0,0,0,0
1733.14,16,26,0,1,1,0,0,0,0
593.54,12,9,0,1,1,0,0,0,0
379.87,7,29,0,1,0,0,1,0,0
498.58,12,13,0,1,0,0,0,1,0
653.59,16,36,0,0,1,0,0,0,0
712.25,14,27,0,1,0,0,1,0,0
344.25,6,15,0,1,0,1,0,0,0
883.71,12,22,0,1,1,0,0,0,0
356.13,16,9,0,1,1,0,0,0,0
451.09,12,37,0,1,1,0,0,0,0
506.49,12,11,0,1,0,0,1,0,0
1092.12,18,3,0,1,0,0,1,0,0
522.32,11,12,0,0,0,1,0,0,0
474.83,18,18,0,1,0,0,1,0,0
231.48,12,8,0,0,0,1,0,0,0
470.09,16,9,0,0,0,0,1,0,0
56.98,14,0,0,0,0,1,0,0,1
181.28,18,37,0,1,1,0,0,0,1
1080.25,16,3,0,0,0,0,0,1,0
474.83,12,10,0,1,0,0,1,0,0
189.93,13,1,0,0,1,0,0,0,0
514.4,12,42,0,1,0,1,0,0,0
370.37,12,22,1,1,0,0,0,1,0
496.11,12,13,0,0,0,1,0,0,0
345.68,12,8,0,1,0,0,0,1,0
451.09,12,3,0,0,1,0,0,0,0
878.44,16,16,1,1,0,1,0,0,0
227.92,12,15,0,0,0,1,0,0,0
188.46,16,28,0,0,0,1,0,0,0
1020.89,13,21,0,0,0,1,0,0,0
284.9,12,5,0,1,0,0,1,0,0
391.74,12,43,0,1,1,0,0,0,0
854.7,14,34,0,1,1,0,0,0,0
688.51,12,20,0,0,0,0,1,0,0
854.7,12,28,0,1,1,0,0,0,0
277.78,12,36,0,1,1,0,0,0,0
593.54,12,17,0,0,0,1,0,0,0
514.4,12,36,0,1,0,1,0,0,0
1497.13,16,23,0,1,0,1,0,0,0
902.18,18,7,0,1,0,0,0,1,0
532.56,12,13,0,1,0,0,0,1,0
252.53,9,15,0,0,0,0,1,0,0
296.77,7,37,1,1,0,0,1,0,0
408.36,11,16,1,1,0,0,1,0,0
498.58,14,24,0,1,1,0,0,0,0
892.59,13,0,0,0,0,0,0,1,0
403.61,13,14,0,0,1,0,0,0,0
408.73,12,4,0,1,1,0,0,0,0
2374.15,17,23,0,0,0,0,0,1,0
668.23,12,17,0,1,0,0,0,1,0
354.94,12,16,0,0,0,0,0,1,0
78.56,14,0,0,0,1,0,0,0,1
493.83,12,10,0,1,0,0,0,1,0
455.84,12,23,0,1,0,0,0,1,0
389.36,12,6,0,0,1,0,0,0,0
474.43,12,13,0,1,1,0,0,0,0
474.83,12,13,0,0,0,0,0,1,0
522.32,12,5,0,1,1,0,0,0,0
353.75,15,14,0,1,0,0,0,1,0
308.64,16,0,0,1,0,0,0,1,0
783.48,12,12,0,0,0,0,0,1,0
254.04,13,12,0,1,0,1,0,0,0
90.22,18,44,1,1,0,1,0,0,1
121.91,12,7,1,0,0,0,1,0,0
759.73,17,18,0,1,0,0,1,0,0
1220.77,14,38,0,1,0,0,1,0,0
246.91,4,36,0,1,1,0,0,0,0
712.25,13,7,0,0,0,0,0,1,0
987.65,17,4,0,1,1,0,0,0,1
356.13,4,28,0,1,0,0,0,1,0
664.77,14,33,0,0,0,0,0,1,0
451.09,12,7,0,0,1,0,0,0,0
313.63,14,17,0,1,0,1,0,0,0
386.99,12,18,0,1,0,1,0,0,0
356.13,15,15,0,1,1,0,0,0,0
149,13,1,0,1,0,0,1,0,0
474.83,14,7,0,1,0,1,0,0,0
617.28,16,3,0,1,0,0,1,0,0
188.27,15,31,0,0,0,1,0,0,1
664.77,14,26,0,1,0,1,0,0,0
735.99,12,18,0,1,1,0,0,0,0
498.58,14,4,0,1,1,0,0,0,0
557.12,12,12,0,0,0,1,0,0,0
506.49,15,4,0,1,1,0,0,0,0
308.64,12,3,0,1,1,0,0,0,0
411.52,16,4,0,1,0,0,0,1,0
688.51,12,25,0,0,0,0,0,1,0
782.38,9,36,0,1,0,1,0,0,0
439.22,10,24,0,0,1,0,0,0,0
388.01,13,5,0,1,0,1,0,0,1
664.77,14,9,0,1,0,0,0,1,0
216.05,12,6,0,1,0,0,1,0,0
1068.38,16,13,1,1,1,0,0,0,0
759.73,10,48,0,1,1,0,0,0,0
295.22,12,2,0,1,0,0,1,0,0
522.32,12,8,0,1,1,0,0,0,0
949.67,16,40,0,1,0,1,0,0,0
807.22,12,26,0,1,0,0,0,1,0
830.96,12,14,0,1,0,1,0,0,0
498.58,12,23,0,1,0,0,1,0,0
604.69,18,24,0,1,0,0,1,0,0
804.84,5,21,0,1,0,0,0,1,0
121.08,13,-1,0,1,0,1,0,0,1
142.45,6,11,0,1,0,0,1,0,0
349.79,12,48,0,1,0,0,1,0,0
335.1,12,0,0,1,0,0,1,0,0
949.67,13,31,0,1,0,1,0,0,0
427.35,14,23,0,1,0,0,1,0,0
1424.5,17,26,0,1,1,0,0,0,0
641.03,16,13,0,1,0,0,1,0,0
1282.05,12,43,0,1,0,0,0,1,0
522.32,12,3,0,1,1,0,0,0,0
569.8,14,36,0,0,0,0,0,1,0
664.77,13,30,0,1,0,0,0,1,0
1246.44,12,28,0,1,0,0,0,1,0
251.42,11,10,0,1,0,0,0,1,0
630.03,18,16,0,0,0,0,0,1,0
1140.74,16,13,0,1,0,0,0,1,0
232.39,11,13,0,0,1,0,0,0,0
351.38,12,14,0,1,1,0,0,0,0
1092.12,13,15,0,1,0,0,0,1,0
712.25,12,21,0,1,0,1,0,0,0
1115.86,18,14,0,1,0,0,0,1,0
617.28,12,39,0,1,0,0,1,0,0
1187.08,16,35,0,1,1,0,0,0,0
796.3,12,22,0,1,1,0,0,0,0
902.18,13,20,0,1,0,1,0,0,0
1519.47,18,16,0,1,1,0,0,0,0
712.25,12,9,1,1,0,0,1,0,0
795.35,16,10,0,1,0,0,0,1,0
973.41,14,20,0,0,0,0,0,1,0
664.77,8,38,0,0,0,0,1,0,0
284.9,18,5,0,1,0,1,0,0,0
712.25,12,35,0,0,0,0,1,0,0
1068.38,12,30,0,0,0,1,0,0,0
981.32,15,36,0,0,0,1,0,0,0
757.58,12,15,0,0,1,0,0,0,1
949.67,13,10,0,1,0,0,1,0,0
213.68,12,33,0,1,0,1,0,0,0
284.9,14,4,0,1,0,0,1,0,0
284.9,16,16,0,1,1,0,0,0,0
830.96,12,16,0,1,1,0,0,0,0
395.69,13,9,1,1,0,1,0,0,0
185.19,10,11,0,1,1,0,0,0,0
641.03,16,37,0,0,0,1,0,0,0
2184.24,16,23,0,1,0,0,1,0,0
807.22,12,46,0,1,0,1,0,0,0
830.96,18,20,0,0,0,0,0,1,0
617.28,12,32,0,0,0,0,0,1,0
830.96,13,22,0,1,0,1,0,0,0
290.93,4,32,0,0,0,0,0,1,0
1044.63,18,7,0,1,0,1,0,0,0
537.51,16,11,0,1,0,1,0,0,0
165.43,13,5,0,1,1,0,0,0,0
712.25,10,36,0,0,0,0,0,1,0
687.83,13,36,0,1,0,0,1,0,0
332.38,12,41,1,0,0,0,1,0,0
522.32,16,3,0,1,1,0,0,0,0
164.81,4,58,1,1,0,1,0,0,1
498.58,13,6,0,1,0,0,1,0,0
1025.64,12,20,0,1,0,0,1,0,0
453.99,12,16,0,0,0,0,0,1,0
255.34,16,8,0,1,0,1,0,0,0
617.28,12,6,0,1,1,0,0,0,0
320.99,16,8,0,1,0,1,0,0,0
1068.38,17,31,0,1,0,0,0,1,0
1234.57,16,18,0,1,0,0,1,0,0
854.7,12,45,0,1,1,0,0,0,0
489.16,16,39,1,0,0,0,1,0,0
709.62,10,30,0,1,0,0,1,0,0
854.7,12,33,0,0,0,1,0,0,0
783.48,12,22,0,0,0,1,0,0,0
288.07,14,48,0,1,1,0,0,0,0
498.58,14,5,0,1,0,0,1,0,0
2374.15,16,25,0,0,0,1,0,0,0
2374.15,18,13,0,1,0,0,1,0,0
764.48,13,14,0,1,0,0,0,1,0
735.99,16,7,0,1,1,0,0,0,0
282.92,16,7,0,0,0,0,0,1,0
712.25,10,38,0,1,0,1,0,0,0
1424.5,16,31,0,1,0,0,1,0,0
1068.38,14,50,0,1,1,0,0,0,0
997.15,12,16,0,1,0,0,1,0,0
123.46,14,-1,0,0,0,1,0,0,1
332.38,14,11,0,1,1,0,0,0,0
676.64,12,19,0,1,0,0,0,1,0
641.03,12,22,0,0,0,0,1,0,0
664.77,12,20,1,1,0,0,1,0,0
1543.21,16,14,0,1,1,0,0,0,0
411.52,12,6,0,1,0,0,0,1,0
264.55,14,3,0,0,0,0,0,1,0
949.67,13,23,0,1,0,1,0,0,0
498.58,12,29,0,1,0,0,1,0,0
381.43,16,4,0,1,0,1,0,0,1
2374.15,16,21,0,1,0,0,1,0,0
399.29,16,4,0,0,0,0,0,1,0
593.54,14,18,0,1,1,0,0,0,0
712.25,18,13,0,1,1,0,0,0,0
65.43,17,-1,0,1,0,0,0,1,1
997.15,12,17,0,1,1,0,0,0,0
759.73,12,7,0,1,1,0,0,0,0
441.05,12,38,0,1,0,0,1,0,0
1780.63,11,39,0,1,0,0,1,0,0
949.67,18,36,0,1,1,0,0,0,0
295.31,10,47,1,1,0,0,1,0,0
179.63,12,1,0,1,0,0,1,0,0
1424.5,14,27,0,1,0,1,0,0,0
935.92,16,30,0,1,0,1,0,0,0
759.73,12,29,0,0,0,1,0,0,0
712.25,12,21,0,1,0,0,0,1,0
664.77,12,24,0,1,1,0,0,0,0
1471.98,17,16,0,1,0,0,1,0,0
250.47,6,48,0,1,1,0,0,0,0
356.13,8,10,0,1,0,1,0,0,0
740.74,9,46,0,1,0,0,1,0,0
835,16,18,0,1,0,1,0,0,0
422.1,12,6,0,0,0,1,0,0,0
795.35,14,8,0,1,0,0,1,0,0
735.99,12,21,0,1,0,0,1,0,0
522.32,18,31,0,1,0,1,0,0,0
674.26,16,9,0,1,0,1,0,0,0
619.66,16,15,0,0,1,0,0,0,0
356.13,12,3,0,1,0,1,0,0,0
474.83,12,11,0,1,0,1,0,0,0
617.28,18,17,0,1,0,0,0,1,0
546.06,12,29,0,0,0,1,0,0,0
747.86,16,7,0,1,0,1,0,0,0
712.25,9,29,0,0,0,1,0,0,0
997.15,18,11,0,1,0,0,1,0,0
284.9,18,3,0,0,0,1,0,0,0
130.58,18,38,0,0,0,1,0,0,0
555.56,12,26,0,0,1,0,0,0,0
308.64,13,20,0,0,0,1,0,0,1
842.1,14,17,0,1,0,1,0,0,0
1151.47,13,20,0,1,0,0,1,0,0
854.7,12,8,0,0,1,0,0,0,0
712.25,16,6,0,1,0,0,1,0,0
135.03,12,4,0,1,1,0,0,0,1
444.44,12,17,0,0,0,0,1,0,0
657.64,12,10,0,1,0,1,0,0,0
845.68,12,28,0,1,0,0,1,0,0
973.41,16,18,0,1,0,0,1,0,0
1187.08,16,19,0,1,0,0,0,1,0
830.96,13,18,0,1,0,0,1,0,0
593.54,12,21,0,1,1,0,0,0,0
2160.49,14,27,0,1,0,0,0,1,0
949.67,14,15,0,1,0,0,0,1,0
522.32,17,10,0,1,0,0,1,0,0
329.3,13,33,0,0,0,1,0,0,0
